"track_name","energy","loudness","liveness","valence","speechiness","danceability","count","track_artist"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,3,"David Guetta"
"Memories (feat. Kid Cudi)",0.87,-6.103,0.246,0.502,0.26,0.544,3,"David Guetta"
"Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,3,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,3,"David Guetta"
"Memories (feat. Kid Cudi)",0.899,-3.937,0.229,0.47,0.233,0.546,3,"David Guetta"
"Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,3,"David Guetta"
"Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,3,"David Guetta"
"Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,3,"David Guetta"
"Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,3,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,3,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,3,"David Guetta"
"Memories (feat. Kid Cudi)",0.919,-3.927,0.231,0.351,0.266,0.545,3,"David Guetta"
"Flames",0.726,-4.346,0.0895,0.362,0.0414,0.609,2,"David Guetta"
"Say My Name",0.66,-5.119,0.192,0.79,0.123,0.703,2,"David Guetta"
"Turn Me On (feat. Nicki Minaj)",0.793,-2.266,0.575,0.412,0.0591,0.704,2,"David Guetta"
"Sexy Bitch (feat. Akon)",0.627,-5.018,0.131,0.801,0.0486,0.813,2,"David Guetta"
"Bang My Head (feat. Sia & Fetty Wap)",0.869,-3.697,0.103,0.593,0.0789,0.599,2,"David Guetta"
"She Wolf (Falling to Pieces) (feat. Sia)",0.857,-2.634,0.344,0.393,0.0655,0.492,2,"David Guetta"
"Sexy Bitch (feat. Akon)",0.627,-5.018,0.131,0.801,0.0486,0.813,2,"David Guetta"
"Turn Me On (feat. Nicki Minaj)",0.793,-2.266,0.575,0.412,0.0591,0.704,2,"David Guetta"
"Flames",0.649,-5.892,0.0934,0.421,0.0385,0.631,2,"David Guetta"
"Titanium (feat. Sia) - Alesso Remix",0.652,-6.826,0.0894,0.13,0.0461,0.696,2,"David Guetta"
"Say My Name",0.66,-5.119,0.192,0.79,0.123,0.703,2,"David Guetta"
"Bang My Head (feat. Sia & Fetty Wap)",0.869,-3.697,0.103,0.593,0.0789,0.599,2,"David Guetta"
"Make It To Heaven (with Raye)",0.92,-4.697,0.185,0.35,0.0914,0.587,2,"David Guetta"
"Thing For You - David Guetta Remix",0.867,-4.402,0.115,0.452,0.061,0.44,2,"David Guetta"
"Metropolis",0.982,-2.894,0.244,0.364,0.13,0.691,2,"David Guetta"
"Blast Off - Radio Edit",0.993,-1.702,0.197,0.128,0.18,0.656,2,"David Guetta"
"Thing For You - David Guetta Remix",0.867,-4.402,0.115,0.452,0.061,0.44,2,"David Guetta"
"Make It To Heaven (with Raye)",0.92,-4.697,0.185,0.35,0.0914,0.587,2,"David Guetta"
"Titanium (feat. Sia) - Alesso Remix",0.652,-6.826,0.0894,0.13,0.0461,0.696,2,"David Guetta"
"She Wolf (Falling to Pieces) (feat. Sia)",0.857,-2.634,0.344,0.393,0.0655,0.492,2,"David Guetta"
"Metropolis",0.982,-2.894,0.244,0.364,0.13,0.691,2,"David Guetta"
"Blast Off - Radio Edit",0.993,-1.702,0.197,0.128,0.18,0.656,2,"David Guetta"
"Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix",0.995,-2.325,0.0445,0.664,0.0487,0.607,1,"David Guetta"
"2U",0.651,-5.828,0.224,0.562,0.0594,0.551,1,"David Guetta"
"Stay (Don't Go Away) [feat. Raye]",0.797,-5.68,0.199,0.552,0.0624,0.669,1,"David Guetta"
"Sunshine",0.8,-5.044,0.0512,0.219,0.0437,0.59,1,"David Guetta"
"2U (feat. Justin Bieber)",0.65,-5.827,0.225,0.557,0.0591,0.548,1,"David Guetta"
"This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)",0.915,-3.456,0.0905,0.365,0.0488,0.367,1,"David Guetta"
"Dangerous (feat. Sam Martin)",0.747,-4.838,0.107,0.43,0.0795,0.466,1,"David Guetta"
"Rise (feat. Skylar Grey)",0.717,-2.893,0.119,0.253,0.0511,0.656,1,"David Guetta"
"I Can Only Imagine (feat. Chris Brown & Lil Wayne)",0.939,-2.06,0.335,0.264,0.0427,0.67,1,"David Guetta"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.73,-4.091,0.325,0.525,0.151,0.596,1,"David Guetta"
"Where Them Girls At (feat. Nicki Minaj & Flo Rida)",0.876,-3.078,0.259,0.552,0.0414,0.666,1,"David Guetta"
"Would I Lie to You - Radio Edit",0.826,-5.766,0.631,0.774,0.309,0.671,1,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon) - New Edit",0.87,-3.013,0.656,0.678,0.0435,0.723,1,"David Guetta"
"Little Bad Girl (feat. Taio Cruz & Ludacris)",0.829,-2.748,0.358,0.648,0.0334,0.668,1,"David Guetta"
"Who's That Chick? (feat. Rihanna)",0.601,-4.733,0.0458,0.931,0.116,0.675,1,"David Guetta"
"Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix",0.9,-2.827,0.0638,0.278,0.0418,0.632,1,"David Guetta"
"Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix",0.91,-3.916,0.0783,0.239,0.0594,0.406,1,"David Guetta"
"Make It To Heaven (with Raye) - Rework",0.62,-8.073,0.102,0.443,0.0375,0.679,1,"David Guetta"
"Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix",0.747,-5.289,0.174,0.516,0.165,0.678,1,"David Guetta"
"Don't Leave Me Alone (feat. Anne-Marie) - R3HAB Remix",0.949,-2.697,0.488,0.293,0.0903,0.618,1,"David Guetta"
"Thing For You - Don Diablo Remix",0.886,-3.042,0.613,0.539,0.087,0.755,1,"David Guetta"
"When Love Takes Over (feat. Kelly Rowland)",0.863,-4.64,0.2,0.496,0.0255,0.658,1,"David Guetta"
"Freedom",0.802,-7.173,0.122,0.0616,0.0962,0.456,1,"David Guetta"
"Don't Leave Me Alone (feat. Anne-Marie)",0.738,-5.072,0.115,0.481,0.0477,0.659,1,"David Guetta"
"Your Love",0.937,-2.682,0.125,0.512,0.0336,0.571,1,"David Guetta"
"Everytime We Touch (with Steve Angello & Sebastian Ingrosso)",0.471,-7.667,0.179,0.355,0.0354,0.707,1,"David Guetta"
"Delirious (feat. Tara McDonald) - Laidback Luke Remix",0.687,-7.087,0.366,0.357,0.0717,0.804,1,"David Guetta"
"Tomorrow Can Wait",0.496,-7.306,0.854,0.319,0.0293,0.675,1,"David Guetta"
"Joan of Arc (feat. Thailand)",0.58,-7.814,0.0754,0.425,0.0408,0.611,1,"David Guetta"
"When Love Takes Over (feat. Kelly Rowland) - Laidback Luke Remix",0.775,-4.978,0.154,0.424,0.0537,0.71,1,"David Guetta"
"Stay",0.689,-7.904,0.066,0.403,0.0609,0.756,1,"David Guetta"
"Just For One Day (Heroes) (Extended Version)",0.658,-9.856,0.336,0.442,0.229,0.606,1,"David Guetta"
"Sexy Bitch (feat. Akon) - Featuring Akon;explicit",0.633,-4.99,0.148,0.853,0.0486,0.815,1,"David Guetta"
"Sound Of Letting Go (feat. Chris Willis)",0.71,-6.843,0.0521,0.53,0.0286,0.656,1,"David Guetta"
"It's your life (feat. Chris Willis)",0.894,-5.983,0.437,0.108,0.122,0.709,1,"David Guetta"
"Love Is Gone - Original Extended",0.508,-7.416,0.0364,0.685,0.0458,0.83,1,"David Guetta"
"She Wolf (Falling to Pieces) [feat. Sia]",0.859,-2.479,0.445,0.415,0.0679,0.51,1,"David Guetta"
"The Alphabeat - Radio Edit",0.811,-4.104,0.695,0.109,0.292,0.329,1,"David Guetta"
"Jump",0.941,-3.016,0.0781,0.362,0.182,0.775,1,"David Guetta"
"Don't Leave Me Alone (feat. Anne-Marie) - Oliver Heldens Remix",0.818,-6.717,0.359,0.155,0.0612,0.739,1,"David Guetta"
"Stay (Don't Go Away) [feat. Raye] - Nicky Romero Remix",0.907,-7.782,0.161,0.233,0.0477,0.593,1,"David Guetta"
"Just One Last Time (feat. Taped Rai)",0.814,-2.507,0.124,0.208,0.0579,0.532,1,"David Guetta"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,10,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Roses",0.808,-7.652,0.225,0.309,0.0473,0.718,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Something Just Like This",0.635,-6.769,0.164,0.446,0.0317,0.617,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,5,"The Chainsmokers"
"Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,5,"The Chainsmokers"
"Something Just Like This",0.635,-6.769,0.164,0.446,0.0317,0.617,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,5,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,4,"The Chainsmokers"
"Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,4,"The Chainsmokers"
"Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,4,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Who Do You Love",0.783,-6.143,0.174,0.493,0.0388,0.529,4,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.877,-5.677,0.126,0.484,0.121,0.431,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.877,-5.677,0.126,0.484,0.121,0.431,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.903,-4.638,0.115,0.446,0.14,0.435,4,"The Chainsmokers"
"Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,4,"The Chainsmokers"
"Don't Let Me Down - W&W Remix",0.877,-5.677,0.114,0.484,0.121,0.431,4,"The Chainsmokers"
"Somebody",0.616,-7.074,0.0928,0.292,0.0328,0.532,3,"The Chainsmokers"
"Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,3,"The Chainsmokers"
"Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,3,"The Chainsmokers"
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,3,"The Chainsmokers"
"Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,3,"The Chainsmokers"
"All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,3,"The Chainsmokers"
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,3,"The Chainsmokers"
"All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,3,"The Chainsmokers"
"Somebody",0.616,-7.074,0.0928,0.292,0.0328,0.532,3,"The Chainsmokers"
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,3,"The Chainsmokers"
"Somebody",0.63,-7.019,0.102,0.323,0.0493,0.32,3,"The Chainsmokers"
"Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,3,"The Chainsmokers"
"Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,3,"The Chainsmokers"
"Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,3,"The Chainsmokers"
"All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,3,"The Chainsmokers"
"Paris",0.644,-6.763,0.0888,0.251,0.031,0.646,2,"The Chainsmokers"
"All We Know - Oliver Heldens Remix",0.8,-5.852,0.314,0.43,0.0303,0.711,2,"The Chainsmokers"
"Roses - Zaxx Remix",0.881,-3.534,0.359,0.566,0.054,0.677,2,"The Chainsmokers"
"Setting Fires - Blasterjaxx Remix",0.938,-4.887,0.194,0.164,0.286,0.585,2,"The Chainsmokers"
"Takeaway - Andrew Rayel Remix",0.83,-3.301,0.0875,0.162,0.0727,0.469,2,"The Chainsmokers"
"Roses - Zaxx Remix",0.881,-3.534,0.359,0.566,0.054,0.677,2,"The Chainsmokers"
"Closer - R3hab Remix",0.559,-5.89,0.219,0.408,0.0417,0.775,2,"The Chainsmokers"
"Inside Out - DubVision Remix",0.799,-4.805,0.29,0.266,0.0551,0.719,2,"The Chainsmokers"
"Closer - R3hab Remix",0.559,-5.89,0.219,0.408,0.0417,0.775,2,"The Chainsmokers"
"All We Know - Oliver Heldens Remix",0.8,-5.852,0.314,0.43,0.0303,0.711,2,"The Chainsmokers"
"Paris",0.644,-6.763,0.0888,0.251,0.031,0.646,2,"The Chainsmokers"
"Takeaway - Andrew Rayel Remix",0.83,-3.301,0.0875,0.162,0.0727,0.469,2,"The Chainsmokers"
"Setting Fires - Blasterjaxx Remix",0.938,-4.887,0.194,0.164,0.286,0.585,2,"The Chainsmokers"
"Inside Out - DubVision Remix",0.799,-4.805,0.29,0.266,0.0551,0.719,2,"The Chainsmokers"
"Call You Mine - Asketa & Natan Chaim Remix",0.844,-3.364,0.499,0.283,0.0406,0.577,1,"The Chainsmokers"
